GEN UID,Bus ID,Unit Type,Fuel,MW Inj,MVAR Inj,V Setpoint p.u.,PMax MW,PMin MW,QMax MVAR,QMin MVAR,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Non Fuel Start Cost $,Fuel Price $/MMBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,Output_pct_4,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,HR_incr_4,capex1,capex2,capex3,fuel_cost1,fuel_cost2,fuel_cost3,fixed_ops1,fixed_ops2,fixed_ops3,var_ops1,var_ops2,var_ops3
ct_fe_1_1-c,1,CT,G,,,1,992,297.6,,,8,6,,,,,,,,,,0.6,1,,,,,,,,,958.3056410874265,928.7012334108126,908.9649616264034,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
ct_fe_1_2-c,1,CT,G,,,1,992,297.6,,,8,6,,,,,,,,,,0.6,1,,,,,,,,,958.3056410874265,928.7012334108126,908.9649616264034,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
ct_fe_1_3-c,1,CT,G,,,1,992,297.6,,,8,6,,,,,,,,,,0.6,1,,,,,,,,,958.3056410874265,928.7012334108126,908.9649616264034,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
ct_fe_8_1-c,8,CT,G,,,1,992,297.6,,,8,6,,,,,,,,,,0.6,1,,,,,,,,,958.3056410874265,928.7012334108126,908.9649616264034,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
ct_fe_8_2-c,8,CT,G,,,1,992,297.6,,,8,6,,,,,,,,,,0.6,1,,,,,,,,,958.3056410874265,928.7012334108126,908.9649616264034,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
ct_fe_8_3-c,8,CT,G,,,1,992,297.6,,,8,6,,,,,,,,,,0.6,1,,,,,,,,,958.3056410874265,928.7012334108126,908.9649616264034,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
ct_fe_15_1-c,15,CT,G,,,1,992,297.6,,,8,6,,,,,,,,,,0.6,1,,,,,,,,,958.3056410874265,928.7012334108126,908.9649616264034,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
ct_fe_15_2-c,15,CT,G,,,1,992,297.6,,,8,6,,,,,,,,,,0.6,1,,,,,,,,,958.3056410874265,928.7012334108126,908.9649616264034,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
ct_fe_15_3-c,15,CT,G,,,1,992,297.6,,,8,6,,,,,,,,,,0.6,1,,,,,,,,,958.3056410874265,928.7012334108126,908.9649616264034,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
ct_fe_17_1-c,17,CT,G,,,1,992,297.6,,,8,6,,,,,,,,,,0.6,1,,,,,,,,,958.3056410874265,928.7012334108126,908.9649616264034,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
