Year,Month,Day,Period,1,2,3
2020,1,1,1,0.0,0.0,0.0
2020,1,1,2,1322.1290399999998,1406.5982063523768,834.1391288078348
2020,1,1,3,1253.7857099999999,1349.7433864217724,719.174390796184
2020,1,1,4,1193.7414299999998,1272.3456036576881,614.4841350840512
2020,1,1,5,1181.3154499999996,1218.6304113778567,650.3302062368829
2020,1,1,6,1177.2090799999999,1247.5869693263053,683.5852844637203
2020,1,1,7,1192.3756999999996,1260.9450249274057,714.6544091113202
2020,1,1,8,1228.83725,1305.8719221221515,779.0653926793909
2020,1,1,9,1293.27913,1366.1776676429995,896.9337501159175
2020,1,1,10,1250.6987700000004,1359.386010434106,1129.3488886067673
2020,1,1,11,1398.1806800000002,1518.443610414375,1307.923485749163
2020,1,1,12,1561.0962999999997,1776.964561236748,1286.4555347190906
2020,1,1,13,1713.12414,1802.0925333475639,1193.8823578597548
2020,1,1,14,1892.61043,1852.4653711854517,1087.7121799882752
2020,1,1,15,2064.30188,1873.7577220271837,1013.7709253578821
2020,1,1,16,2193.38879,1896.831149121057,975.4580189744704
2020,1,1,17,2270.101350000001,1904.3890130474408,913.2321436151532
2020,1,1,18,2276.04756,1860.8066963873366,873.8572674015924
2020,1,1,19,2229.7695,1808.081703455376,869.8458219664183
2020,1,1,20,2016.9338500000003,1684.4064909558892,891.179112657199
2020,1,1,21,1806.5805,1583.8057809550837,935.0916119551626
2020,1,1,22,1724.19053,1613.0498077812215,1014.2156856178143
2020,1,1,23,1589.3492600000002,1591.7987600250622,1027.9948298603802
2020,1,1,24,1493.66748,1548.2817198795822,1014.2838935798108
2020,1,2,1,1383.1700000000003,1488.1579117702631,944.7570620411816
2020,1,2,2,1315.9700400000006,1445.3902548684146,872.1494079983128
2020,1,2,3,1253.8765700000001,1370.293744183946,747.7293452761198
2020,1,2,4,1199.8003999999996,1298.3489802526994,690.5856702460557
2020,1,2,5,1186.51483,1265.9999147274589,652.5242321685217
2020,1,2,6,1179.68499,1266.852967280179,664.6347520628887
2020,1,2,7,1197.59561,1286.7883313442817,681.2331120700294
2020,1,2,8,1229.4095499999999,1316.9812951720564,736.3519124623035
2020,1,2,9,1283.44914,1382.6301656206551,827.4256103726981
2020,1,2,10,1235.11153,1376.7667965836476,1023.9906706894038
2020,1,2,11,1393.4733699999997,1529.4272741300667,1143.65947644964
2020,1,2,12,1534.1108700000004,1770.1527802188268,1190.121989268133
2020,1,2,13,1697.6215100000002,1816.0981453669942,1117.2706976469658
2020,1,2,14,1885.9366499999999,1878.1111601393536,1055.612149250695
2020,1,2,15,2077.63066,1906.5195346575356,1006.5593636956545
2020,1,2,16,2261.9933600000004,1911.5951042845047,981.3124611003899
2020,1,2,17,2392.37144,1910.9516141203615,915.7939820300129
2020,1,2,18,2419.87943,1853.2258928733393,860.9191861306463
2020,1,2,19,2328.7481100000005,1774.4543221361562,855.682935772169
2020,1,2,20,2074.69539,1647.9622156631062,887.5454640010468
2020,1,2,21,1872.71839,1578.5883334441812,940.2014101178557
2020,1,2,22,1771.5259600000002,1640.0597561441502,1021.5511492009969
2020,1,2,23,1614.21023,1617.0846158320549,1048.3646442309098
2020,1,2,24,1499.1351399999999,1588.4931488653556,1039.0408803075654
2020,1,3,1,1379.3312200000003,1519.1226708510085,964.9576489904404
2020,1,3,2,1302.33388,1470.8637760940626,890.4305242194642
2020,1,3,3,1232.8179199999997,1401.717431873828,761.3044147087198
2020,1,3,4,1177.1285699999999,1312.7173659495013,730.3307940803388
2020,1,3,5,1156.8755000000003,1290.4040065965905,704.7638256610225
2020,1,3,6,1153.6189799999995,1281.1311201379294,720.9147261471867
2020,1,3,7,1170.4325499999998,1293.4474700035862,747.4307330001443
2020,1,3,8,1204.1683600000001,1325.732026140489,803.0217223525584
2020,1,3,9,1255.9459499999996,1390.192672954088,912.5081534308906
2020,1,3,10,1224.0128300000003,1390.108634668724,1104.9299148435816
2020,1,3,11,1359.3439299999998,1594.1205724508854,1253.8456142412763
2020,1,3,12,1511.7271200000005,1801.5208273045941,1256.520065723365
2020,1,3,13,1678.10016,1845.6730210630542,1143.7073063150383
2020,1,3,14,1878.95077,1918.1266416097947,1062.227493598548
2020,1,3,15,2090.19823,1925.3392324915505,1014.7250238555798
2020,1,3,16,2274.16564,1921.947867164166,989.5980331851968
2020,1,3,17,2368.38832,1919.0024551459933,908.6577637775202
2020,1,3,18,2382.01581,1861.4425592499124,867.1556140431412
2020,1,3,19,2332.82915,1785.975207518231,854.0958985964446
2020,1,3,20,2107.1183100000007,1669.041232248005,874.1444602492579
2020,1,3,21,1896.77455,1601.9162023853398,913.8257717992791
2020,1,3,22,1792.9530700000003,1669.9067010523718,1016.3560666285027
