,bus_num,fips_code
0,1001,48135
1,1002,48377
2,1003,48033
3,1004,48033
4,1005,48227
5,1006,48227
6,1007,48109
7,1008,48371
8,1009,48371
9,1010,48377
10,1011,48377
11,1012,48443
12,1013,48493
13,1014,48389
14,1015,48243
15,1016,48383
16,1017,48135
17,1018,48135
18,1019,48329
19,1020,48227
20,1021,48227
21,1022,48033
22,1023,48033
23,1024,48135
24,1025,48227
25,1026,48227
26,1027,48329
27,1028,48227
28,1029,48329
29,1030,48467
30,1031,48243
31,1032,48379
32,1033,48379
33,1034,48227
34,1035,48227
35,1036,48103
36,1037,48135
37,1038,48371
38,1039,48371
39,1040,48003
40,1041,48227
41,1042,48227
42,1044,48089
43,1045,48329
44,1046,48105
45,1047,48475
46,1048,48475
47,1049,48475
48,1050,48475
49,1051,48475
50,1052,48475
51,1053,48475
52,1054,48329
53,1055,48033
54,1056,48317
55,1057,48317
56,1058,48371
57,1061,48227
58,1062,48227
59,1063,48227
60,1064,48135
61,1065,48227
62,1066,48227
63,1067,48227
64,1068,48329
65,1069,48371
66,1070,48371
67,1071,48135
68,1072,48135
69,1073,48135
70,1074,48135
71,1075,48135
72,1076,48135
73,1077,48135
74,1079,48135
75,1081,48135
76,1082,48371
77,1083,48371
78,1084,48227
79,1085,48495
80,1086,48389
81,1087,48105
82,1088,48499
83,1089,48115
84,1090,48135
85,1091,48499
86,1093,48411
87,1094,48053
88,1095,48409
89,1096,48409
90,1097,48409
91,1099,48409
92,1100,48409
93,1101,48409
94,1102,48409
95,1103,48411
96,1104,48053
97,1105,48411
98,1106,48053
99,1107,48411
100,1108,48053
101,1109,48411
102,1110,48053
103,1111,48411
104,1112,48053
105,1113,48411
106,1114,48053
107,1115,48409
108,1116,48409
109,1117,48409
110,1118,48409
111,1119,48409
112,1120,48409
113,1121,48409
114,1122,48409
115,1123,48409
116,1124,48409
117,1125,48409
118,1126,48409
119,1127,48409
120,1128,48409
121,1129,48409
122,1130,48409
123,1131,48409
124,1132,48409
125,1133,48409
126,1134,48409
127,2001,48277
128,2002,48147
129,2003,48147
130,2007,48147
131,2008,48249
132,2009,48485
133,2010,48487
134,2011,48065
135,2012,48375
136,2013,48065
137,2014,48075
138,2015,48171
139,2016,48181
140,2017,48065
141,2018,48375
142,2019,48065
143,2020,48485
144,2021,48277
145,2022,48277
146,2023,48277
147,2024,48277
148,2025,48485
149,2026,48483
150,2027,48387
151,2028,48077
152,2029,48045
153,2030,48147
154,2031,48345
155,2032,48319
156,2033,48231
157,2034,48181
158,2035,48275
159,2036,48485
160,2037,48097
161,2038,48147
162,2039,48337
163,2040,48387
164,2041,48065
165,2042,48375
166,2043,48181
167,2044,48097
168,2045,48485
169,2046,0
170,2047,48181
171,2048,48107
172,2049,48439
173,2050,48277
174,2051,48077
175,2052,48065
176,2053,48061
177,2054,48485
178,2055,48485
179,2058,48065
180,2060,48277
181,2061,48487
182,2062,48159
183,2063,48181
184,2064,48277
185,2065,48097
186,2066,48433
187,2067,48485
188,2068,48009
189,2069,48181
190,2070,48499
191,2071,48379
192,2072,48097
193,2073,48169
194,2074,48169
195,2076,48169
196,2077,48097
197,2078,48097
198,2079,48101
199,2080,48337
200,2081,48427
201,2082,48009
202,2083,48485
203,2084,48009
204,2085,48009
205,2086,48161
206,2087,48125
207,2088,48379
208,2089,48379
209,2090,48085
210,2091,48023
211,2092,48181
212,2093,48065
213,2096,48107
214,2097,48107
215,2098,48107
216,2099,48107
217,2101,48181
218,2102,48181
219,2103,48181
220,2104,48181
221,2105,48181
222,2106,48181
223,2107,48181
224,2108,48005
225,2109,48485
226,2110,48097
227,2111,48383
228,2112,48077
229,2113,48277
230,2114,48277
231,2115,48277
232,2116,48277
233,2117,48277
234,2118,48277
235,2119,48277
236,2120,48277
237,2121,48387
238,2122,48147
239,2123,48375
240,2124,48181
241,2125,48181
242,2126,48097
243,2127,48393
244,2128,48393
245,2129,48147
246,2130,48207
247,2131,48207
248,2133,48363
249,3001,48265
250,3002,48265
251,3003,48441
252,3004,48353
253,3005,48385
254,3006,48253
255,3007,48441
256,3008,48083
257,3009,48435
258,3010,48463
259,3011,48299
260,3012,48171
261,3013,48441
262,3014,48053
263,3015,48423
264,3016,48081
265,3017,48081
266,3018,48451
267,3019,48451
268,3020,48451
269,3021,48417
270,3022,48335
271,3023,48157
272,3024,48413
273,3025,48411
274,3026,48441
275,3027,48441
276,3028,48441
277,3029,48333
278,3030,48451
279,3031,48441
280,3032,48441
281,3033,48415
282,3034,48415
283,3035,48339
284,3036,48411
285,3037,48499
286,3038,48353
287,3039,48499
288,3040,48399
289,3041,48081
290,3042,48081
291,3046,48423
292,3047,48353
293,3048,48499
294,3049,48253
295,3050,48465
296,3051,48465
297,3052,48265
298,3053,48441
299,3054,48441
300,3055,48399
301,3056,48441
302,3057,48441
303,3058,48431
304,3059,48431
305,3060,48431
306,3061,48431
307,3062,48431
308,3063,48431
309,3064,48499
310,3065,48353
311,3066,48307
312,3067,48353
313,3068,48353
314,3069,48441
315,3070,48441
316,3071,48441
317,3072,48451
318,3073,48271
319,3074,48271
320,3075,48319
321,3076,48271
322,3077,48417
323,3078,48415
324,3079,48415
325,3080,48415
326,3081,48415
327,3082,48441
328,3083,48441
329,3084,48441
330,3085,48335
331,3086,48335
332,3087,48335
333,3088,48441
334,3089,48441
335,3091,48441
336,3092,48441
337,3093,48137
338,3094,48441
339,3095,48441
340,3096,48033
341,3097,48415
342,3098,48033
343,3099,48441
344,3100,48253
345,3101,48299
346,3102,48253
347,3103,48441
348,3104,48053
349,3105,48053
350,3106,48053
351,3107,48265
352,3108,48281
353,3109,48415
354,3110,48415
355,3111,48431
356,3112,48431
357,3113,48431
358,3114,48451
359,3115,48263
360,3116,48415
361,3117,48415
362,3119,48271
363,3120,48271
364,3121,48353
365,3122,48353
366,3123,48463
367,3124,48171
368,3125,48441
369,3126,48463
370,3127,48353
371,3128,48353
372,3129,48499
373,3130,48253
374,3131,48441
