,fips_code,lim_timestamp,case_5b_prob,date
960,48001,02-10 00:00:00,0.0,02-10
961,48001,02-10 01:00:00,0.0,02-10
962,48001,02-10 02:00:00,0.0,02-10
963,48001,02-10 03:00:00,0.0,02-10
964,48001,02-10 04:00:00,0.0,02-10
965,48001,02-10 05:00:00,0.0,02-10
966,48001,02-10 06:00:00,0.0,02-10
967,48001,02-10 07:00:00,0.0,02-10
968,48001,02-10 08:00:00,0.0,02-10
969,48001,02-10 09:00:00,0.0,02-10
970,48001,02-10 10:00:00,0.0,02-10
971,48001,02-10 11:00:00,0.0,02-10
972,48001,02-10 12:00:00,0.0,02-10
973,48001,02-10 13:00:00,0.0,02-10
974,48001,02-10 14:00:00,0.0,02-10
975,48001,02-10 15:00:00,0.0,02-10
976,48001,02-10 16:00:00,0.0,02-10
977,48001,02-10 17:00:00,0.0,02-10
978,48001,02-10 18:00:00,0.0,02-10
979,48001,02-10 19:00:00,0.0,02-10
980,48001,02-10 20:00:00,0.0,02-10
981,48001,02-10 21:00:00,0.0,02-10
982,48001,02-10 22:00:00,0.0,02-10
983,48001,02-10 23:00:00,0.0,02-10
9720,48003,02-10 00:00:00,0.0,02-10
9721,48003,02-10 01:00:00,0.0,02-10
9722,48003,02-10 02:00:00,0.0,02-10
9723,48003,02-10 03:00:00,0.0,02-10
9724,48003,02-10 04:00:00,0.0,02-10
9725,48003,02-10 05:00:00,0.0,02-10
9726,48003,02-10 06:00:00,0.0,02-10
9727,48003,02-10 07:00:00,0.0,02-10
9728,48003,02-10 08:00:00,0.0,02-10
9729,48003,02-10 09:00:00,0.0,02-10
9730,48003,02-10 10:00:00,0.0,02-10
9731,48003,02-10 11:00:00,0.0,02-10
9732,48003,02-10 12:00:00,0.0,02-10
9733,48003,02-10 13:00:00,0.0,02-10
9734,48003,02-10 14:00:00,0.0,02-10
9735,48003,02-10 15:00:00,0.0,02-10
9736,48003,02-10 16:00:00,0.0,02-10
9737,48003,02-10 17:00:00,0.0,02-10
9738,48003,02-10 18:00:00,0.0,02-10
9739,48003,02-10 19:00:00,0.0,02-10
9740,48003,02-10 20:00:00,0.0,02-10
9741,48003,02-10 21:00:00,0.0,02-10
9742,48003,02-10 22:00:00,0.0,02-10
9743,48003,02-10 23:00:00,0.0,02-10
18480,48005,02-10 00:00:00,0.0,02-10
18481,48005,02-10 01:00:00,0.0,02-10
18482,48005,02-10 02:00:00,0.0,02-10
18483,48005,02-10 03:00:00,0.0,02-10
18484,48005,02-10 04:00:00,0.0,02-10
18485,48005,02-10 05:00:00,0.0,02-10
18486,48005,02-10 06:00:00,0.0,02-10
18487,48005,02-10 07:00:00,0.0,02-10
18488,48005,02-10 08:00:00,0.0,02-10
18489,48005,02-10 09:00:00,0.0,02-10
18490,48005,02-10 10:00:00,0.0,02-10
18491,48005,02-10 11:00:00,0.0,02-10
18492,48005,02-10 12:00:00,0.0,02-10
18493,48005,02-10 13:00:00,0.0,02-10
18494,48005,02-10 14:00:00,0.0,02-10
18495,48005,02-10 15:00:00,0.0,02-10
18496,48005,02-10 16:00:00,0.0,02-10
18497,48005,02-10 17:00:00,0.0,02-10
18498,48005,02-10 18:00:00,0.0,02-10
18499,48005,02-10 19:00:00,0.0,02-10
18500,48005,02-10 20:00:00,0.0,02-10
18501,48005,02-10 21:00:00,0.0,02-10
18502,48005,02-10 22:00:00,0.0,02-10
18503,48005,02-10 23:00:00,0.0,02-10
27240,48007,02-10 00:00:00,0.0,02-10
27241,48007,02-10 01:00:00,0.0,02-10
27242,48007,02-10 02:00:00,0.0,02-10
27243,48007,02-10 03:00:00,0.0,02-10
27244,48007,02-10 04:00:00,0.0,02-10
27245,48007,02-10 05:00:00,0.0,02-10
27246,48007,02-10 06:00:00,0.0,02-10
27247,48007,02-10 07:00:00,0.0,02-10
27248,48007,02-10 08:00:00,0.0,02-10
27249,48007,02-10 09:00:00,0.0,02-10
27250,48007,02-10 10:00:00,0.0,02-10
27251,48007,02-10 11:00:00,0.0,02-10
27252,48007,02-10 12:00:00,0.0,02-10
27253,48007,02-10 13:00:00,0.0,02-10
27254,48007,02-10 14:00:00,0.0,02-10
27255,48007,02-10 15:00:00,0.0,02-10
27256,48007,02-10 16:00:00,0.0,02-10
27257,48007,02-10 17:00:00,0.0,02-10
27258,48007,02-10 18:00:00,0.0,02-10
27259,48007,02-10 19:00:00,0.0,02-10
27260,48007,02-10 20:00:00,0.0,02-10
27261,48007,02-10 21:00:00,0.0,02-10
27262,48007,02-10 22:00:00,0.0,02-10
27263,48007,02-10 23:00:00,0.0,02-10
36000,48009,02-10 00:00:00,0.0,02-10
36001,48009,02-10 01:00:00,0.0,02-10
36002,48009,02-10 02:00:00,0.0,02-10
36003,48009,02-10 03:00:00,0.0,02-10
36004,48009,02-10 04:00:00,0.0,02-10
36005,48009,02-10 05:00:00,0.0,02-10
36006,48009,02-10 06:00:00,0.0,02-10
36007,48009,02-10 07:00:00,0.0,02-10
