Year,Month,Day,Period,1,2,3,4,5,6,7,8,9,10,11
2020,1,1,1,5317,2908,1296,512,3822,1132,131,123,10381,12190,1584
2020,1,1,2,5122,2828,1252,510,3692,1102,126,121,9923,11580,1510
2020,1,1,3,5025,2803,1234,519,3637,1093,128,119,9574,11101,1429
2020,1,1,4,4992,2811,1245,513,3599,1082,128,118,9483,10804,1409
2020,1,1,5,5088,2890,1265,526,3682,1114,129,121,9572,10690,1426
2020,1,1,6,5290,2964,1308,540,3790,1135,134,123,9819,10724,1503
2020,1,1,7,5518,3088,1345,552,3940,1177,141,127,10210,10723,1534
2020,1,1,8,5704,3175,1384,565,4076,1210,143,130,10428,10615,1591
2020,1,1,9,5962,3296,1442,580,4246,1250,149,136,10912,10848,1682
2020,1,1,10,6252,3432,1498,586,4446,1295,150,139,11243,11066,1758
2020,1,1,11,6518,3507,1542,594,4617,1309,153,141,11501,11436,1794
2020,1,1,12,6626,3506,1546,594,4693,1309,149,141,11413,11631,1803
2020,1,1,13,6606,3454,1543,576,4692,1297,146,139,11288,11587,1784
2020,1,1,14,6559,3381,1520,582,4583,1270,146,137,11114,11512,1778
2020,1,1,15,6484,3326,1506,566,4489,1264,142,137,10920,11538,1752
2020,1,1,16,6505,3344,1519,574,4503,1267,146,137,11095,11273,1771
2020,1,1,17,6741,3502,1589,597,4730,1350,155,146,12060,11247,2052
2020,1,1,18,6956,3630,1629,585,4938,1405,156,153,13591,13320,2334
2020,1,1,19,6849,3588,1608,580,4916,1389,156,152,13634,14235,2317
2020,1,1,20,6640,3483,1564,574,4778,1367,153,150,13329,14104,2227
2020,1,1,21,6343,3335,1517,559,4608,1330,148,146,12870,13950,2140
2020,1,1,22,5952,3138,1441,549,4315,1256,142,139,12107,13495,1953
2020,1,1,23,5438,2922,1351,517,3980,1164,135,128,11207,12689,1730
2020,1,1,24,4978,2718,1244,499,3640,1099,126,121,10163,11732,1577
2020,1,2,1,4636,2598,1190,486,3415,1057,122,116,9627,11284,1466
2020,1,2,2,4474,2535,1160,482,3295,1035,119,114,9237,10879,1405
2020,1,2,3,4420,2533,1140,486,3261,1036,119,114,9166,10589,1403
2020,1,2,4,4457,2544,1159,490,3272,1046,121,116,9299,10581,1399
2020,1,2,5,4652,2670,1196,498,3421,1097,126,121,9733,10708,1501
2020,1,2,6,5204,2905,1306,542,3784,1197,139,132,10765,11296,1726
2020,1,2,7,5916,3247,1462,584,4318,1331,149,146,12183,11848,1950
2020,1,2,8,6335,3391,1543,607,4615,1381,156,152,12809,12716,2049
2020,1,2,9,6343,3372,1543,595,4590,1383,156,153,13161,13441,2089
2020,1,2,10,6295,3337,1539,594,4543,1363,155,152,13425,13961,2167
2020,1,2,11,6314,3338,1547,591,4539,1356,153,150,13562,14423,2165
2020,1,2,12,6345,3310,1549,592,4503,1355,152,150,13443,14552,2156
2020,1,2,13,6329,3271,1519,554,4492,1336,149,148,13186,14544,2154
2020,1,2,14,6295,3210,1506,541,4449,1324,149,146,13083,14528,2114
2020,1,2,15,6277,3223,1499,541,4436,1320,148,146,12853,14471,2079
2020,1,2,16,6321,3229,1506,540,4465,1319,150,146,12788,14210,2054
2020,1,2,17,6605,3372,1576,558,4687,1384,157,153,13658,13855,2288
2020,1,2,18,6840,3531,1615,558,4900,1437,162,160,15068,15423,2530
2020,1,2,19,6838,3515,1600,557,4861,1427,162,159,14963,16018,2474
2020,1,2,20,6684,3433,1567,551,4725,1398,159,155,14717,15636,2412
2020,1,2,21,6454,3312,1507,535,4546,1348,152,150,14039,15368,2280
2020,1,2,22,6074,3126,1416,515,4302,1277,141,143,13038,14796,2044
2020,1,2,23,5492,2876,1303,490,3878,1177,132,130,11666,13910,1796
2020,1,2,24,5006,2670,1207,474,3556,1100,124,123,10607,12609,1644
2020,1,3,1,4643,2541,1146,463,3310,1063,121,118,9942,12225,1515
