UID,From Bus,To Bus,R,X,B,Cont Rating,LTE Rating,STE Rating,Tr Ratio,capital_cost
branch_p1_p2,1,2,0.007803532,0.079967199,7.776504466,9000,,,,10
branch_p1_p4,1,4,0.019038929,0.17743235,4.55024794,9804,,,,10
branch_p2_p3,2,3,0.014773882,0.116895258,7.190116276,1942,,,,10
branch_p2_p4,2,4,0.01217384,0.135355197,6.699625164,4252,,,,10
branch_p2_p5,2,5,0.003542363,0.022653197,16.66041399,15397,,,,10
branch_p3_p4,3,4,0.003541893,0.028056917,17.96524978,9721,,,,10
branch_p3_p5,3,5,0.00163263,0.014144487,34.4518511,762,,,,10
branch_p5_p6,5,6,0.017390435,0.166264728,5.100172382,3809,,,,10
branch_p5_p7,5,7,0.012221743,0.1570709,5.936605115,1778,,,,10
branch_p5_p10,5,10,0.014307415,0.100105234,6.826961464,2780,,,,10
branch_p6_p7,6,7,0.000901398,0.009142285,33.90579362,797,,,,10
branch_p6_p8,6,8,0.019413242,0.212073085,4.022947269,1939,,,,10
branch_p6_p9,6,9,0.016732631,0.091435534,8.779324718,2366.88,,,,10
branch_p7_p8,7,8,0.004640613,0.051396867,12.16551118,50,,,,10
branch_p8_p9,8,9,0.004045587,0.027126636,16.95057552,85.18,,,,10
branch_p9_p10,9,10,0.004076388,0.023033695,24.73540951,8242,,,,10
branch_p10_p11,10,11,0.006432724,0.093202804,7.042938521,7240,,,,10


