Simulation,Category,Object,Parameter,Data File
DAY_AHEAD,Area,1,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,1,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,2,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,2,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,3,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,3,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,4,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,4,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,5,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,5,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,6,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,6,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,7,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,7,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,8,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,8,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,9,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,9,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,10,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,10,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,11,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,11,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Generator,1_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,1_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,1_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,1_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,10_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,10_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,10_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,10_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,11_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,11_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,11_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,11_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,2_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,2_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,2_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,2_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,3_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,3_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,3_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,3_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,4_PV,PMin MW,DAY_AHEAD_renewables.csv
