GEN UID,Bus ID,Unit Type,Fuel,MW Inj,MVAR Inj,V Setpoint p.u.,PMax MW,PMin MW,QMax MVAR,QMin MVAR,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Non Fuel Start Cost $,Fuel Price $/MMBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,HR_incr_4
10_BIO,10,BIO,B,0,0,1,27.8,27.8,13,-13,7,7,3.8611111142,9999,9999,9999,,0,9999,147.38269462650143,0.0,0.5,1,,,0.0,0.0,,,
10_BIO-2,10,BIO,B,0,0,1,27.8,27.8,13,-13,7,7,3.8611111142,9999,9999,9999,,0,9999,147.38269462650143,0.0,0.5,1,,,0.0,0.0,,,
14_BIO,14,BIO,B,0,0,1,11.8,11.8,13,-13,7,7,1.6388888902000005,9999,9999,9999,,0,9999,62.76971057027904,0.0,0.5,1,,,0.0,0.0,,,
14_BIO-2,14,BIO,B,0,0,1,11.8,11.8,13,-13,7,7,1.6388888902000005,9999,9999,9999,,0,9999,62.76971057027904,0.0,0.5,1,,,0.0,0.0,,,
16_BIO,16,BIO,B,0,0,1,5.0,5.0,13,-13,7,7,0.694444445,9999,9999,9999,,0,9999,26.016957100782207,0.0,0.5,1,,,0.0,0.0,,,
16_BIO-2,16,BIO,B,0,0,1,5.0,5.0,13,-13,7,7,0.694444445,9999,9999,9999,,0,9999,26.016957100782207,0.0,0.5,1,,,0.0,0.0,,,
5_BIO,5,BIO,B,0,0,1,7.4,7.4,13,-13,7,7,1.0277777786000002,9999,9999,9999,,0,9999,39.32926827761065,0.0,0.5,1,,,0.0,0.0,,,
5_BIO-2,5,BIO,B,0,0,1,7.4,7.4,13,-13,7,7,1.0277777786000002,9999,9999,9999,,0,9999,39.32926827761065,0.0,0.5,1,,,0.0,0.0,,,
9_BIO,9,BIO,B,0,0,1,33.0,33.0,13,-13,7,7,4.583333337000001,9999,9999,9999,,0,9999,177.00973126890645,0.0,0.5,1,,,0.0,0.0,,,
9_BIO-2,9,BIO,B,0,0,1,33.0,33.0,13,-13,7,7,4.583333337000001,9999,9999,9999,,0,9999,177.00973126890645,0.0,0.5,1,,,0.0,0.0,,,
9_BIO-3,9,BIO,B,0,0,1,6.2,6.2,13,-13,7,7,0.8611111118000001,9999,9999,9999,,0,9999,33.15735035759067,0.0,0.5,1,,,0.0,0.0,,,
9_BIO-4,9,BIO,B,0,0,1,6.2,6.2,13,-13,7,7,0.8611111118000001,9999,9999,9999,,0,9999,33.15735035759067,0.0,0.5,1,,,0.0,0.0,,,
23_COAL,23,COAL,C,0,0,1,490.0,196.0,13,-13,12,24,4.608667560000001,9999,9999,9999,,0,9999,75585.12185849974,1.820655,0.5,1,,,0.0,0.0,,,
23_COAL-2,23,COAL,C,0,0,1,490.0,196.0,13,-13,12,24,4.608667560000001,9999,9999,9999,,0,9999,75585.12185849974,1.820655,0.5,1,,,0.0,0.0,,,
23_COAL-3,23,COAL,C,0,0,1,490.0,196.0,13,-13,12,24,4.608667560000001,9999,9999,9999,,0,9999,75585.12185849974,1.820655,0.5,1,,,0.0,0.0,,,
1_PV,1,PV,S,0,0,1,807.4545454545455,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
10_PV,10,PV,S,0,0,1,10921.363636363632,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
11_PV,11,PV,S,0,0,1,1767.5454545454545,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
12_PV,12,PV,S,0,0,1,289.54545454545445,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
13_PV,13,PV,S,0,0,1,1008.0909090909092,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
14_PV,14,PV,S,0,0,1,91.90909090909088,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
15_PV,15,PV,S,0,0,1,350.72727272727263,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
16_PV,16,PV,S,0,0,1,170.54545454545442,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
17_PV,17,PV,S,0,0,1,126.09090909090912,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
18_PV,18,PV,S,0,0,1,106.81818181818184,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
19_PV,19,PV,S,0,0,1,2.90909090909091,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
2_PV,2,PV,S,0,0,1,293.81818181818176,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
20_PV,20,PV,S,0,0,1,65.09090909090908,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
21_PV,21,PV,S,0,0,1,55.90909090909092,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
22_PV,22,PV,S,0,0,1,8.000000000000002,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
23_PV,23,PV,S,0,0,1,17.818181818181802,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
24_PV,24,PV,S,0,0,1,66.45454545454542,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
25_PV,25,PV,S,0,0,1,1068.6363636363628,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
26_PV,26,PV,S,0,0,1,55.18181818181817,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
27_PV,27,PV,S,0,0,1,120.2727272727273,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
28_PV,28,PV,S,0,0,1,2447.909090909092,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
29_PV,29,PV,S,0,0,1,20.63636363636364,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
3_PV,3,PV,S,0,0,1,172.00000000000003,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
30_PV,30,PV,S,0,0,1,674.6363636363636,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
31_PV,31,PV,S,0,0,1,815.5454545454546,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
4_PV,4,PV,S,0,0,1,29.454545454545464,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
5_PV,5,PV,S,0,0,1,1015.0000000000005,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
6_PV,6,PV,S,0,0,1,232.36363636363637,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
7_PV,7,PV,S,0,0,1,36.54545454545456,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
8_PV,8,PV,S,0,0,1,100.09090909090898,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
9_PV,9,PV,S,0,0,1,10122.18181818182,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
9_PV-2,9,PV,S,0,0,1,796.671787205349,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
12_PV-2,12,PV,S,0,0,1,1225.417846153846,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
25_PV-2,25,PV,S,0,0,1,118.1843076923073,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
12_PV-3,12,PV,S,0,0,1,11.364923076923098,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
27_PV-2,27,PV,S,0,0,1,408.14030769230726,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
9_PV-3,9,PV,S,0,0,1,167.16,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
10_PV-2,10,PV,S,0,0,1,89.1249230769231,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
28_PV-2,28,PV,S,0,0,1,30.37138461538461,0.0,13,-13,,,-9999.0,9999,9999,9999,,0,9999,-9999.0,,0.5,1,,,0.0,0.0,,,
10_CC,10,CC,G,0,0,1,348.0,191.399995128,13,-13,8,6,2.9807560680000003,9999,9999,9999,,0,9999,29024.812660004107,2.677787,0.5,1,,,154.65221444023163,6.786254744489312,,,
10_CC-2,10,CC,G,0,0,1,348.0,191.399995128,13,-13,8,6,2.9807560680000003,9999,9999,9999,,0,9999,29024.812660004107,2.677787,0.5,1,,,154.65221444023163,6.890886859461758,,,
10_CC-3,10,CC,G,0,0,1,348.0,191.399995128,13,-13,8,6,2.9807560680000003,9999,9999,9999,,0,9999,29024.812660004107,2.677787,0.5,1,,,154.65221444023163,6.786254744489312,,,
10_CC-4,10,CC,G,0,0,1,348.0,191.399995128,13,-13,8,6,2.9807560680000003,9999,9999,9999,,0,9999,29024.812660004107,2.677787,0.5,1,,,154.65221444023163,6.890886859461758,,,
10_CC-5,10,CC,G,0,0,1,348.0,191.399995128,13,-13,8,6,2.9807560680000003,9999,9999,9999,,0,9999,29024.812660004107,2.677787,0.5,1,,,154.65221444023163,6.786254744489312,,,
10_CC-6,10,CC,G,0,0,1,348.0,191.399995128,13,-13,8,6,2.9807560680000003,9999,9999,9999,,0,9999,29024.812660004107,2.677787,0.5,1,,,154.65221444023163,6.890886859461758,,,
10_CC-7,10,CC,G,0,0,1,348.0,191.399995128,13,-13,8,6,2.9807560680000003,9999,9999,9999,,0,9999,29382.07506914942,2.677787,0.5,1,,,152.03751918064685,6.67151996248198,,,
