Simulation,Category,Object,Parameter,Data File
DAY_AHEAD,Area,1,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,1,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,2,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,2,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,3,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,3,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,4,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,4,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,5,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,5,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,6,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,6,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,7,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,7,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,8,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,8,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,9,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,9,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,10,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,10,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,11,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,11,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,12,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,12,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,13,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,13,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,14,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,14,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,15,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,15,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,16,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,16,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,17,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,17,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,18,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,18,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,19,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,19,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,20,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,20,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,21,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,21,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,22,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,22,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,23,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,23,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,24,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,24,MW Load,REAL_TIME_load.csv
