Year,Month,Day,Period,1,2,3
2020,1,1,1,0.0,0.0,0.0
2020,1,1,2,13221.2904,14065.982063523768,8341.391288078348
2020,1,1,3,12537.8571,13497.433864217724,7191.74390796184
2020,1,1,4,11937.4143,12723.45603657688,6144.84135084051
2020,1,1,5,11813.154499999991,12186.304113778566,6503.302062368829
2020,1,1,6,11772.090800000002,12475.86969326305,6835.852844637202
2020,1,1,7,11923.756999999996,12609.450249274058,7146.544091113202
2020,1,1,8,12288.3725,13058.719221221516,7790.65392679391
2020,1,1,9,12932.7913,13661.776676429996,8969.337501159174
2020,1,1,10,12506.9877,13593.86010434106,11293.488886067673
2020,1,1,11,13981.806800000004,15184.43610414375,13079.234857491629
2020,1,1,12,15610.962999999996,17769.64561236748,12864.555347190904
2020,1,1,13,17131.2414,18020.92533347564,11938.823578597548
2020,1,1,14,18926.1043,18524.65371185452,10877.121799882752
2020,1,1,15,20643.0188,18737.57722027184,10137.70925357882
2020,1,1,16,21933.8879,18968.31149121057,9754.580189744704
2020,1,1,17,22701.01350000001,19043.890130474407,9132.321436151533
2020,1,1,18,22760.4756,18608.066963873367,8738.572674015924
2020,1,1,19,22297.695000000003,18080.81703455376,8698.458219664182
2020,1,1,20,20169.33850000001,16844.064909558892,8911.79112657199
2020,1,1,21,18065.805,15838.057809550835,9350.916119551628
2020,1,1,22,17241.905300000002,16130.498077812215,10142.156856178144
2020,1,1,23,15893.4926,15917.98760025062,10279.9482986038
2020,1,1,24,14936.674800000004,15482.81719879582,10142.838935798109
2020,1,2,1,13831.700000000004,14881.579117702631,9447.570620411816
2020,1,2,2,13159.700400000009,14453.902548684146,8721.494079983127
2020,1,2,3,12538.7657,13702.93744183946,7477.2934527612
2020,1,2,4,11998.003999999995,12983.489802526994,6905.856702460555
2020,1,2,5,11865.1483,12659.99914727459,6525.242321685218
2020,1,2,6,11796.8499,12668.52967280179,6646.347520628886
2020,1,2,7,11975.9561,12867.88331344282,6812.331120700296
2020,1,2,8,12294.0955,13169.812951720562,7363.519124623036
2020,1,2,9,12834.491400000004,13826.301656206551,8274.256103726982
2020,1,2,10,12351.1153,13767.667965836476,10239.90670689404
2020,1,2,11,13934.733699999995,15294.272741300669,11436.5947644964
2020,1,2,12,15341.108700000008,17701.52780218827,11901.219892681323
2020,1,2,13,16976.2151,18160.98145366995,11172.70697646966
2020,1,2,14,18859.3665,18781.11160139353,10556.12149250695
2020,1,2,15,20776.306600000004,19065.195346575365,10065.593636956544
2020,1,2,16,22619.933600000004,19115.95104284505,9813.1246110039
2020,1,2,17,23923.714400000004,19109.51614120361,9157.939820300126
2020,1,2,18,24198.7943,18532.2589287334,8609.191861306463
2020,1,2,19,23287.481100000005,17744.543221361564,8556.82935772169
2020,1,2,20,20746.9539,16479.622156631063,8875.454640010468
2020,1,2,21,18727.1839,15785.883334441814,9402.01410117856
2020,1,2,22,17715.259599999998,16400.597561441504,10215.511492009966
2020,1,2,23,16142.1023,16170.84615832055,10483.6464423091
2020,1,2,24,14991.3514,15884.931488653556,10390.408803075654
2020,1,3,1,13793.312200000006,15191.226708510085,9649.576489904404
2020,1,3,2,13023.3388,14708.637760940626,8904.305242194643
2020,1,3,3,12328.1792,14017.17431873828,7613.044147087199
2020,1,3,4,11771.2857,13127.173659495016,7303.307940803388
2020,1,3,5,11568.755000000005,12904.040065965904,7047.638256610226
2020,1,3,6,11536.1898,12811.311201379294,7209.147261471868
2020,1,3,7,11704.325499999995,12934.474700035864,7474.307330001443
2020,1,3,8,12041.6836,13257.320261404891,8030.217223525583
2020,1,3,9,12559.459499999994,13901.92672954088,9125.081534308909
2020,1,3,10,12240.128300000004,13901.086346687242,11049.299148435815
2020,1,3,11,13593.4393,15941.205724508854,12538.456142412764
2020,1,3,12,15117.271200000008,18015.208273045944,12565.20065723365
2020,1,3,13,16781.0016,18456.730210630543,11437.073063150388
2020,1,3,14,18789.5077,19181.266416097948,10622.27493598548
2020,1,3,15,20901.9823,19253.39232491551,10147.2502385558
2020,1,3,16,22741.6564,19219.47867164166,9895.980331851968
2020,1,3,17,23683.8832,19190.02455145993,9086.577637775204
2020,1,3,18,23820.158100000004,18614.42559249912,8671.55614043141
2020,1,3,19,23328.2915,17859.75207518231,8540.958985964444
2020,1,3,20,21071.18310000001,16690.41232248005,8741.444602492582
2020,1,3,21,18967.7455,16019.1620238534,9138.257717992792
2020,1,3,22,17929.530700000007,16699.06701052372,10163.560666285028
2020,1,3,23,16236.040499999996,16553.813355309252,10437.744304992995
2020,1,3,24,14982.6116,16205.88313190078,10209.663457014476
2020,1,4,1,13753.434800000005,15497.066991730022,9609.772309905133
2020,1,4,2,12969.2205,14822.506468499298,8782.168614046543
2020,1,4,3,12269.2196,14057.759316842266,7825.982967662062
2020,1,4,4,11708.395899999998,13260.587154579534,7278.106360891756
2020,1,4,5,11360.892300000003,12699.707572879272,7165.335924611568
2020,1,4,6,11329.7772,12569.874407141706,7443.098017556903
2020,1,4,7,11478.8071,12748.08603591288,7822.150668628893
2020,1,4,8,11844.2075,12998.96812355624,8702.214627271122
2020,1,4,9,12250.5504,13594.321061836014,9999.339181604326
2020,1,4,10,11960.2643,13695.1044469637,12032.136361832096
2020,1,4,11,13206.254,15052.63387416094,13586.87079679533
2020,1,4,12,14392.796400000005,17012.843120735142,13163.438953696192
