Year,Month,Day,Period,1,2,3
2020,1,1,1,0.0,0.0,0.0
2020,1,1,2,26442.5808,28131.964127047537,16682.782576156696
2020,1,1,3,25075.7142,26994.86772843545,14383.48781592368
2020,1,1,4,23874.8286,25446.91207315376,12289.68270168102
2020,1,1,5,23626.308999999983,24372.60822755713,13006.604124737658
2020,1,1,6,23544.181600000004,24951.7393865261,13671.705689274404
2020,1,1,7,23847.513999999992,25218.900498548115,14293.088182226404
2020,1,1,8,24576.745,26117.43844244303,15581.30785358782
2020,1,1,9,25865.5826,27323.55335285999,17938.67500231835
2020,1,1,10,25013.9754,27187.72020868212,22586.977772135346
2020,1,1,11,27963.613600000008,30368.8722082875,26158.469714983257
2020,1,1,12,31221.925999999992,35539.29122473496,25729.11069438181
2020,1,1,13,34262.4828,36041.85066695128,23877.647157195097
2020,1,1,14,37852.2086,37049.30742370904,21754.243599765505
2020,1,1,15,41286.0376,37475.15444054368,20275.41850715764
2020,1,1,16,43867.7758,37936.62298242114,19509.160379489407
2020,1,1,17,45402.02700000002,38087.78026094881,18264.642872303066
2020,1,1,18,45520.9512,37216.133927746734,17477.14534803185
2020,1,1,19,44595.39000000001,36161.63406910752,17396.916439328365
2020,1,1,20,40338.67700000002,33688.129819117785,17823.58225314398
2020,1,1,21,36131.61,31676.11561910167,18701.832239103256
2020,1,1,22,34483.810600000004,32260.99615562443,20284.31371235629
2020,1,1,23,31786.9852,31835.97520050124,20559.8965972076
2020,1,1,24,29873.34960000001,30965.63439759164,20285.677871596217
2020,1,2,1,27663.40000000001,29763.158235405263,18895.141240823632
2020,1,2,2,26319.400800000018,28907.80509736829,17442.988159966255
2020,1,2,3,25077.5314,27405.87488367892,14954.5869055224
2020,1,2,4,23996.00799999999,25966.979605053988,13811.71340492111
2020,1,2,5,23730.2966,25319.99829454918,13050.484643370435
2020,1,2,6,23593.6998,25337.05934560358,13292.695041257772
2020,1,2,7,23951.9122,25735.76662688564,13624.662241400592
2020,1,2,8,24588.191,26339.625903441123,14727.038249246072
2020,1,2,9,25668.98280000001,27652.603312413103,16548.512207453965
2020,1,2,10,24702.2306,27535.33593167295,20479.81341378808
2020,1,2,11,27869.46739999999,30588.545482601337,22873.1895289928
2020,1,2,12,30682.217400000016,35403.05560437654,23802.439785362647
2020,1,2,13,33952.4302,36321.9629073399,22345.41395293932
2020,1,2,14,37718.733,37562.22320278706,21112.2429850139
2020,1,2,15,41552.61320000001,38130.39069315073,20131.18727391309
2020,1,2,16,45239.86720000001,38231.9020856901,19626.2492220078
2020,1,2,17,47847.42880000001,38219.03228240722,18315.87964060025
2020,1,2,18,48397.5886,37064.5178574668,17218.383722612925
2020,1,2,19,46574.96220000001,35489.08644272313,17113.65871544338
2020,1,2,20,41493.9078,32959.24431326213,17750.909280020936
2020,1,2,21,37454.3678,31571.76666888363,18804.028202357116
2020,1,2,22,35430.519199999995,32801.19512288301,20431.02298401993
2020,1,2,23,32284.2046,32341.6923166411,20967.2928846182
2020,1,2,24,29982.7028,31769.86297730711,20780.817606151308
2020,1,3,1,27586.62440000001,30382.45341702017,19299.15297980881
2020,1,3,2,26046.6776,29417.275521881253,17808.610484389286
2020,1,3,3,24656.3584,28034.34863747656,15226.088294174398
2020,1,3,4,23542.5714,26254.347318990032,14606.615881606776
2020,1,3,5,23137.51000000001,25808.08013193181,14095.276513220451
2020,1,3,6,23072.379599999997,25622.62240275859,14418.294522943736
2020,1,3,7,23408.65099999999,25868.949400071728,14948.614660002886
2020,1,3,8,24083.3672,26514.640522809783,16060.434447051166
2020,1,3,9,25118.918999999987,27803.85345908176,18250.163068617818
2020,1,3,10,24480.256600000008,27802.172693374483,22098.59829687163
2020,1,3,11,27186.8786,31882.41144901771,25076.91228482553
2020,1,3,12,30234.542400000017,36030.41654609189,25130.4013144673
2020,1,3,13,33562.0032,36913.46042126109,22874.146126300777
2020,1,3,14,37579.0154,38362.532832195895,21244.54987197096
2020,1,3,15,41803.9646,38506.78464983102,20294.5004771116
2020,1,3,16,45483.3128,38438.95734328332,19791.960663703936
2020,1,3,17,47367.7664,38380.04910291986,18173.15527555041
2020,1,3,18,47640.31620000001,37228.85118499824,17343.11228086282
2020,1,3,19,46656.583,35719.50415036462,17081.917971928888
2020,1,3,20,42142.36620000002,33380.8246449601,17482.889204985164
2020,1,3,21,37935.491,32038.3240477068,18276.515435985584
2020,1,3,22,35859.06140000001,33398.13402104744,20327.121332570056
2020,1,3,23,32472.08099999999,33107.626710618504,20875.48860998599
2020,1,3,24,29965.2232,32411.76626380156,20419.326914028952
2020,1,4,1,27506.86960000001,30994.133983460044,19219.544619810265
2020,1,4,2,25938.441,29645.012936998595,17564.337228093085
2020,1,4,3,24538.4392,28115.518633684533,15651.965935324124
2020,1,4,4,23416.791799999995,26521.17430915907,14556.212721783511
2020,1,4,5,22721.784600000006,25399.415145758543,14330.671849223136
2020,1,4,6,22659.5544,25139.74881428341,14886.196035113806
2020,1,4,7,22957.6142,25496.17207182576,15644.301337257786
2020,1,4,8,23688.415,25997.936247112477,17404.429254542243
2020,1,4,9,24501.1008,27188.642123672027,19998.67836320865
2020,1,4,10,23920.5286,27390.208893927396,24064.27272366419
2020,1,4,11,26412.508,30105.26774832188,27173.74159359066
2020,1,4,12,28785.59280000001,34025.686241470285,26326.877907392383
2020,1,4,13,32154.951,34634.251731913486,24144.216526761684
2020,1,4,14,36550.4526,35994.42123947486,22360.302811179783
2020,1,4,15,40907.6164,36584.44489012701,20910.812070508186
2020,1,4,16,44102.6482,36910.19944742853,19727.21959806172
2020,1,4,17,46173.7712,36833.485725415696,18095.42927100905
2020,1,4,18,46980.8956,35886.53504742628,17473.364676443634
2020,1,4,19,46784.1786,34573.46988733468,17473.1135149463
2020,1,4,20,42880.4502,32654.479596511206,17722.909352573122
2020,1,4,21,37292.6404,31204.59850462924,18740.13529387088
2020,1,4,22,34955.101200000005,31818.575854166666,20255.083083725225
2020,1,4,23,31664.46979999999,31175.26837190443,20521.86328063147
2020,1,4,24,29290.28440000001,30533.75543242765,19973.6018825744
2020,1,5,1,26771.5164,28898.176181539096,18863.47136243091
2020,1,5,2,25341.5008,27764.791932095097,17387.39562516454
2020,1,5,3,23894.886,26338.800615832337,15140.63588120354
2020,1,5,4,22722.0534,24666.457794321504,14859.410449645147
2020,1,5,5,22530.3818,24318.94308318671,14216.943461388264
