Data,Units,Stored in Model Data Object as,In GTEP Model,File,Description,Notes
GEN UID,u.dimensionless,"[""elements""][""generator""][<GEN UID>]",m.generators,gen.csv,Generator unique identifier,Used as the generator key/name.
Bus ID,u.dimensionless,"[""elements""][""generator""][<GEN UID>][""bus""]",,gen.csv,Generator bus ID,Bus where the generator is connected.
Unit Type,u.dimensionless,"[""elements""][""generator""][<GEN UID>][""generator_type""]",,gen.csv,Generator unit type,Unit type examples include CT CC STEAM PV HYDRO WIND. GTEP uses generator_type to classify generators as thermal or renewable.
Fuel,u.dimensionless,"[""elements""][""generator""][<GEN UID>][""fuel""]",,gen.csv,Fuel type,Fuel source used by the generator. Sources include G for natural gas S for solar C for coal H for hydro and W for wind.
MW Inj,u.MW,"[""elements""][""generator""][<GEN UID>][""pg""]",,gen.csv,Real power injection,
MVAR Inj,u.MVAR,"[""elements""][""generator""][<GEN UID>][""qg""]",,gen.csv,Reactive power injection,
V Setpoint p.u.,u.dimensionless,,,gen.csv,Voltage setpoint,
PMax MW,u.MW,"[""elements""][""generator""][<GEN UID>][""p_max""]",m.thermalCapacity; m.renewableCapacityNameplate,gen.csv,Maximum real power output,
PMin MW,u.MW,"[""elements""][""generator""][<GEN UID>][""p_min""]",m.thermalMin,gen.csv,Minimum real power output,
QMax MVAR,u.MVAR,"[""elements""][""generator""][<GEN UID>][""q_max""]",m.thermalReactiveMax,gen.csv,Maximum reactive power output,
QMin MVAR,u.MVAR,"[""elements""][""generator""][<GEN UID>][""q_min""]",m.thermalReactiveMin,gen.csv,Minimum reactive power output,
Min Down Time Hr,u.hr,"[""elements""][""generator""][<GEN UID>][""min_down_time""]",,gen.csv,Minimum down time,Thermal generators only. 
Min Up Time Hr,u.hr,"[""elements""][""generator""][<GEN UID>][""min_up_time""]",,gen.csv,Minimum up time,Thermal generators only.
Ramp Rate MW/Min,u.MW / u.minute,,,gen.csv,Ramp rate,Thermal generators only. 
Start Time Cold Hr,u.hr,,,gen.csv,Cold start time,Thermal generators only. 
Start Time Warm Hr,u.hr,,,gen.csv,Warm start time,Thermal generators only. 
Start Time Hot Hr,u.hr,,,gen.csv,Hot start time,Thermal generators only. 
Start Heat Cold MBTU,u.MMBTU,,,gen.csv,Cold start heat requirement,Thermal generators only. Source column uses MBTU notation; verify whether this means MMBTU.
Start Heat Warm MBTU,u.MMBTU,,,gen.csv,Warm start heat requirement,Thermal generators only. Source column uses MBTU notation; verify whether this means MMBTU.
Start Heat Hot MBTU,u.MMBTU,,,gen.csv,Hot start heat requirement,Thermal generators only. Source column uses MBTU notation; verify whether this means MMBTU.
Non Fuel Start Cost $,u.USD,"[""elements""][""generator""][<GEN UID>][""non_fuel_startup_cost""]",m.startupCost,gen.csv,Non-fuel startup cost,Thermal generators only. 
Fuel Price $/MMBTU,u.USD / u.MMBTU,"[""elements""][""generator""][<GEN UID>][""fuel_cost""]",,gen.csv,Fuel price,Thermal generators only. 
Output_pct_<N>,u.dimensionless,"[""elements""][""generator""][<GEN UID>][""p_cost""]",,gen.csv,Output block percentage,Thermal generators only. 
HR_avg_0,u.MMBTU / u.MWh,"[""elements""][""generator""][<GEN UID>][""heat_rate""]",,gen.csv,Average heat rate,Thermal generators only. This is added to the generator dictionary in gtep_data.py.
HR_incr_<N>,u.MMBTU / u.MWh,"[""elements""][""generator""][<GEN UID>][""p_cost""]",,gen.csv,Incremental heat rate,Thermal generators only. 
UID,u.dimensionless,"[""elements""][""branch""][<UID>]",m.transmission,branch.csv,Branch unique identifier,
From Bus,u.dimensionless,"[""elements""][""branch""][<UID>][""from_bus""]",m.from_bus,branch.csv,From bus,Bus ID at one end of the branch.
To Bus,u.dimensionless,"[""elements""][""branch""][<UID>][""to_bus""]",m.to_bus,branch.csv,To bus,Bus ID at the other end of the branch.
R,u.dimensionless,"[""elements""][""branch""][<UID>][""resistance""]",,branch.csv,Branch resistance,
X,u.dimensionless,"[""elements""][""branch""][<UID>][""reactance""]",m.reactance,branch.csv,Branch reactance,
B,u.dimensionless,"[""elements""][""branch""][<UID>][""charging_susceptance""]",,branch.csv,Branch charging susceptance,
Cont Rating,u.MW,"[""elements""][""branch""][<UID>][""rating_long_term""]",m.transmissionCapacity,branch.csv,Continuous rating,
LTE Rating,u.MW,"[""elements""][""branch""][<UID>][""rating_short_term""]",,branch.csv,Long-term emergency rating,
