file,required,required_columns,optional_columns,description,notes
bus.csv,yes,Bus ID; Bus Name; BaseKV; Bus Type; MW Load; MVAR Load; V Mag; V Angle; Area; Zone,Bus Lat; Bus Long,Defines bus-level network data,
branch.csv,yes,UID; From Bus; To Bus; R; X; B; Cont Rating; LTE Rating; STE Rating,Tr Ratio,Defines transmission branch and transformer information,Tr Ratio is required only for transformer branches; blank or zero indicates a line.
gen.csv,yes,GEN UID; Bus ID; Unit Type; Fuel; PMax MW; PMin MW; QMax MVAR; QMin MVAR; Ramp Rate MW/Min,V Setpoint p.u.; MW Inj; MVAR Inj; Min Down Time Hr; Min Up Time Hr; Start Time Cold Hr; Start Time Warm Hr; Start Time Hot Hr; Start Heat Cold MBTU; Start Heat Warm MBTU; Start Heat Hot MBTU; Non Fuel Start Cost $; Fuel Price $/MMBTU; Output_pct_0; Output_pct_1; Output_pct_2; Output_pct_3; Output_pct_4; HR_avg_0; HR_incr_1; HR_incr_2; HR_incr_3; HR_incr_4; capex1; capex2; capex3; fuel_cost1; fuel_cost2; fuel_cost3; fixed_ops1; fixed_ops2; fixed_ops3; var_ops1; var_ops2; var_ops3,Defines generator data and optional cost fields,This file should include both existing and candidate generators. Candidate generators should include the suffix -c in the generator ID.
DAY_AHEAD_load.csv,yes,Year; Month; Day; Period; <load_bus_id>,Additional load bus ID columns,Contains Day-Ahead load time-series data,Columns after Period correspond to bus IDs with load. Values are real power demand time series for each load bus in MW.
DAY_AHEAD_renewables.csv,yes,Year; Month; Day; Period; <renewable_generator_id>,Additional renewable generator ID columns,Contains Day-Ahead renewable availability or generation time-series data,"Columns after Period correspond to renewable generator IDs. This file should include all renewable generators, including solar, wind, and candidate renewable generators identified with the -c suffix. Values are in MW."
timeseries_pointers.csv,yes,Simulation; Category; Object; Parameter; Data; File,,Maps model objects to time-series files and columns,
simulation_objects.csv,yes,Simulation_Parameters; Description; DAY_AHEAD; REAL_TIME,,Defines simulation timing and look-ahead settings for DAY_AHEAD and REAL_TIME simulations,Includes look-ahead settings used by Prescient-style workflows and time-series parsing.
storage.csv,conditional,name; bus; generator; storage_type; energy_capacity; initial_state_of_charge; end_state_of_charge; minimum_state_of_charge; charge_efficiency; discharge_efficiency; max_discharge_rate; min_discharge_rate; max_charge_rate; min_charge_rate; charge_cost; discharge_cost; retention_rate_60min; in_service; capital_multiplier; extension_multiplier; investment_cost,initial_charge_rate; initial_discharge_rate; ramp_up_input_60min; ramp_down_input_60min; ramp_up_output_60min; ramp_down_output_60min; investment_cost_kwh,Defines storage-unit data and investment parameters,
reserves.csv,conditional,Reserve; Product; Requirement; (MW),,Defines reserve requirements by reserve product,
REAL_TIME_load.csv,optional,Year; Month; Day; Period; <load_bus_id>,Additional load bus ID columns,Contains Real-Time load time-series data ,Columns after Period correspond to bus IDs with load. Values are real power demand time series for each load bus in MW.
REAL_TIME_renewables.csv,optional,Year; Month; Day; Period; <renewable_generator_id>,Additional renewable generator ID columns,Contains Real-Time renewable availability or generation time-series data,"Columns after Period correspond to renewable generator IDs. This file should include all renewable generators, including solar, wind, and candidate renewable generators identified with the -c suffix. Values are in MW."
